SHIP_ID,LON,LAT,SHIP_TYPE,SHIP_NAME,DATETIME,DESTINATION,LON0,LAT0,TBM,DISTANCE,DISTANCE_PER_TBM,MAX_DISTANCE_PER_TBM
4618693,18.96312,54.36693,Fishing,PIA-96,2016-12-16T18:57:01Z,CLASS B,18.98403,54.36895,119,1374.57839114067,11.5510789171485,11.5510789171485
4633113,18.66378,54.36518,Passenger,TOLL,2016-12-13T22:41:02Z,TALLINN,18.66392,54.36521,121,9.67466086451459,0.0799558749133437,0.0799558749133437
4704897,18.63873,54.42223,Pleasure,EUPHORIA,2016-12-14T10:07:01Z,CLASS B,18.65476,54.41618,120,1237.58330013918,10.3131941678265,10.3131941678265
2764,18.74412,54.50165,Cargo,KAROLI,2016-12-19T12:19:06Z,GDANSK,18.7568,54.51026,120,1261.08173365548,10.509014447129,10.509014447129
2962,18.55471,54.52401,Tug,BOA BISON,2016-12-15T23:05:07Z,GDYNIA,18.5547,54.52405,120,4.50019943042615,0.0375016619202179,0.0375016619202179
6223,18.69403,54.45842,Cargo,MERI,2016-12-16T11:57:07Z,STORD,18.65869,54.4373,120,3280.21260676642,27.3351050563868,27.3351050563868
23846,18.55957,54.52926,Unspecified,VTS 2614900,2016-12-16T22:25:07Z,NaN,18.55957,54.52926,120,0,0,0
122006,18.71477,54.5382,Cargo,IDUNA,2016-12-13T19:51:07Z,GDYNIA,18.74242,54.53806,120,1785.79434144127,14.8816195120106,14.8816195120106
122250,18.73072,54.52827,Cargo,WILSON SKY,2016-12-13T20:27:07Z,KLAIPEDA,18.70642,54.52936,121,1574.41336248487,13.0116806816931,13.0116806816931
130867,18.77019,54.73986,Cargo,SELENE PRAHM,2016-12-15T05:51:07Z,BUSUM DE BUM,18.78692,54.73468,120,1220.06562715173,10.1672135595978,10.1672135595978
150705,18.56057,54.52669,Cargo,CATHARINA SCHULTE,2016-12-16T11:57:07Z,GDYNIA,18.55884,54.53396,120,816.971728341803,6.80809773618169,6.80809773618169
151751,18.5618,54.53357,Tanker,SEAMARLIN,2016-12-13T23:17:07Z,SWINOUJSCIE,18.56182,54.5336,119,3.5814436995346,0.0300961655423076,0.0300961655423076
154872,18.43425,54.79845,Fishing,CHRISTINA MICHELLE,2016-12-13T21:13:07Z,WLADYSLAWOWO,18.42916,54.79666,120,382.61750042282,3.18847917019016,3.18847917019016
157057,18.71887,54.47331,Tanker,NEPTUNUS,2016-12-13T17:53:07Z,ANTWERP,18.69439,54.45925,120,2226.66990605677,18.5555825504731,18.5555825504731
158315,18.41791,54.79472,Fishing,R 355 TRINE LOUISE,2016-12-16T09:49:07Z,AALBORG NJV,18.41795,54.79491,120,21.305870055822,0.17754891713185,0.17754891713185
158750,18.43294,54.79596,Fishing,R 222 BORNOE,2016-12-14T15:23:07Z,"",18.44113,54.79465,120,545.453421851164,4.54544518209303,4.54544518209303
181857,18.70719,54.53154,Fishing,KAPITAN GERASHCHENKO,2016-12-18T08:55:07Z,INFO VIA CH16,18.68513,54.53149,120,1424.94786539473,11.8745655449561,11.8745655449561
195991,18.6585,54.53733,Cargo,KAREN C,2016-12-18T10:05:07Z,GDYNIA,18.68033,54.53817,121,1412.96259803016,11.6773768432245,11.6773768432245
201975,18.55804,54.78175,Tug,MEWO NAVIGATOR,2016-12-17T18:13:07Z,GDYNIA,18.54412,54.78692,121,1062.86733952187,8.78402759935427,8.78402759935427
226912,18.64842,54.77845,Cargo,HENDRIKA MARGARETHA,2016-12-19T15:57:07Z,GDYNIA,18.62931,54.78511,121,1433.42564927927,11.8464929692502,11.8464929692502
231568,18.55798,54.53548,Cargo,ENFORCER,2016-12-16T11:57:07Z,GDYNIA,18.59532,54.53519,120,2411.91903894362,20.0993253245301,20.0993253245301
265510,18.77537,54.52118,Cargo,THEA MARIEKE,2016-12-16T19:29:07Z,GDANSK,18.79455,54.53445,121,1928.03460777482,15.9341703121886,15.9341703121886
284483,18.55618,54.53458,Tug,OPAL,2016-12-19T15:47:07Z,GDYNIA,18.55029,54.53518,121,386.244367962764,3.1921022145683,3.1921022145683
301374,18.70129,54.46228,Tanker,MARY A,2016-12-17T15:53:06Z,LEIPAJA,18.68288,54.4532,119,1562.34347361435,13.1289367530618,13.1289367530618
304547,18.76117,54.5105,Tanker,SOLSTRAUM,2016-12-20T03:23:06Z,FI SUL-PL GDN,18.77382,54.51933,120,1278.43856397061,10.653654699755,10.653654699755
315660,18.61339,54.47272,Tug,MAJA,2016-12-14T10:25:07Z,GDYNIA/GDANSK,18.61733,54.46896,120,490.057130748433,4.08380942290361,4.08380942290361
315703,18.54962,54.52378,Tug,PILOT-3,2016-12-17T14:19:07Z,CLASS B,18.54965,54.52387,120,10.2044814402699,0.0850373453355826,0.0850373453355826
315705,18.58389,54.53618,Tug,PILOT-5,2016-12-18T03:09:07Z,CLASS B,18.62572,54.53702,121,2703.2355767854,22.3407898907884,22.3407898907884
315728,18.68223,54.45245,Tanker,PORONIEC,2016-12-15T22:11:07Z,SZCZECIN,18.67072,54.44478,120,1133.14095482377,9.44284129019807,9.44284129019807
315731,18.526,54.52919,Tug,ODYS,2016-12-17T19:51:07Z,GDYNIA,18.52593,54.52943,120,27.0967054111604,0.225805878426337,0.225805878426337
315746,18.71972,54.74677,Fishing,WLA 108,2016-12-20T05:01:07Z,GDYNIA,18.70708,54.75691,120,1390.52913400813,11.5877427834011,11.5877427834011
315805,18.77886,54.697,Fishing,HEL 112,2016-12-16T11:57:07Z,TRAWL,18.75711,54.71684,120,2614.317470895,21.785978924125,21.785978924125
315824,18.76006,54.41673,Tug,SMPRC110,2016-12-13T17:53:07Z,GDANSK,18.75131,54.41157,120,806.987375051412,6.7248947920951,6.7248947920951
315864,18.42675,54.79544,Tug,KOL-48,2016-12-13T11:51:07Z,CLASS B,18.43598,54.79836,119,675.647376179244,5.67770904352306,5.67770904352306
315877,18.62028,54.49465,Fishing,KAPER-2 SG-312,2016-12-17T13:23:06Z,SEA TRIAL,18.62042,54.48227,120,1378.16502884765,11.4847085737304,11.4847085737304
315887,18.44073,54.79952,Fishing,WLA-307,2016-12-18T05:43:07Z,WLA-WO 00000,18.43358,54.79694,121,541.298688087878,4.47354287675932,4.47354287675932
315889,18.42918,54.79605,Fishing,WLA-209 BLANKA,2016-12-16T15:05:07Z,WLADYSLAWOWO,18.43543,54.79887,120,509.321565323811,4.24434637769843,4.24434637769843
315909,18.42122,54.79715,Fishing,WLA-13O,2016-12-13T18:51:08Z,FISHING,18.43092,54.79591,121,637.605634231534,5.26946805150028,5.26946805150028
315912,18.4425,54.79989,Fishing,WLA 116,2016-12-20T03:07:06Z,WLADYSLAWOWO,18.43361,54.79826,112,598.630136624842,5.34491193415038,5.34491193415038
315924,18.43724,54.79895,Fishing,WLA-254,2016-12-18T03:17:06Z,"",18.42771,54.79669,119,661.281801215033,5.55698992617675,5.55698992617675
315932,18.42856,54.79725,Tug,NEPTUN W,2016-12-18T06:07:07Z,WLADYSLAWOWO,18.41994,54.79665,119,557.188935981154,4.68225996622819,4.68225996622819
315941,18.4416,54.79936,Fishing,WLA-295,2016-12-14T19:49:07Z,WLADYSLAWOWO,18.43465,54.79669,120,535.956173895439,4.46630144912865,4.46630144912865
315946,18.48243,54.79815,Fishing,WLA-305,2016-12-15T16:15:07Z,WLADYSLAWOWO,18.5046,54.79661,120,1432.99148960054,11.9415957466712,11.9415957466712
315948,18.43298,54.79883,Fishing,WLA310,2016-12-19T19:45:07Z,WLADYSLAWOWO,18.42464,54.79611,111,614.911233683479,5.53974084399531,5.53974084399531
315950,18.4361,54.79691,Fishing,.WLA-311,2016-12-14T18:35:07Z,"KEEP CLEAR 0,5NM",18.42845,54.7962,120,497.249761936226,4.14374801613521,4.14374801613521
315951,18.4243,54.79618,Fishing,WLA-312,2016-12-16T12:03:07Z,WLADYSLAWOWO,18.43634,54.79676,121,775.344967180783,6.40780964612217,6.40780964612217
315983,18.55113,54.52191,Fishing,WLA-184 HELOT,2016-12-17T13:31:07Z,GDANSK,18.55061,54.52204,120,36.5807881245412,0.304839901037843,0.304839901037843
316006,18.44796,54.79729,Fishing,WLA-22,2016-12-18T03:15:07Z,WLADYSLAWOWO,18.43716,54.79597,120,708.479494694571,5.90399578912142,5.90399578912142
316042,18.43411,54.79902,Fishing,WLA-6,2016-12-17T03:25:07Z,WLADEK,18.42473,54.79622,120,677.846951868817,5.64872459890681,5.64872459890681
316044,18.43342,54.79721,Fishing,WLA-197,2016-12-15T14:21:08Z,"",18.45611,54.79952,122,1478.56716327896,12.1194029776964,12.1194029776964
316079,18.43751,54.79794,Fishing,DZI-92 ATILIUS,2016-12-17T02:51:06Z,CLASS B,18.42879,54.79603,119,598.62017759842,5.03042166049093,5.03042166049093
316083,18.42054,54.79707,Fishing,WLA-32,2016-12-16T16:57:07Z,"",18.43016,54.79662,120,619.374874282565,5.16145728568804,5.16145728568804
316100,18.44065,54.79823,Fishing,KOL-148,2016-12-17T23:33:07Z,CLASS B,18.42032,54.79731,119,1308.62415059453,10.9968416016347,10.9968416016347
316111,18.52508,54.77612,Fishing,WLA-207,2016-12-13T14:33:07Z,"",18.53948,54.77141,112,1062.93467627287,9.49048818100776,9.49048818100776
316117,18.49549,54.79879,Fishing,WLA-196,2016-12-17T15:25:07Z,WLADYSLAWOWO,18.5135,54.79955,121,1158.78469483753,9.57673301518618,9.57673301518618
316133,18.4185,54.79633,Fishing,DZI 85,2016-12-18T18:49:07Z,"",18.43017,54.79716,121,754.580693718926,6.2362040803217,6.2362040803217
316150,18.43557,54.79979,Fishing,WLA 11,2016-12-18T03:19:06Z,"",18.42673,54.79649,120,675.830864601146,5.63192387167622,5.63192387167622
316153,18.54901,54.79898,Pleasure,CHA-10,2016-12-18T12:05:08Z,CLASS B,18.52418,54.79657,121,1615.81040008847,13.3538049594088,13.3538049594088
316171,18.49945,54.79922,Fishing,WLA-39,2016-12-18T01:55:06Z,"",18.49092,54.79887,119,548.752169007975,4.6113627647729,4.6113627647729
316174,18.5815,54.535,Tug,CENTAUR II,2016-12-19T18:19:06Z,GDYNIA,18.60033,54.53383,120,1223.16694202356,10.1930578501963,10.1930578501963
316178,18.4341,54.79723,Fishing,WLA182,2016-12-16T21:43:07Z,FISHING GROUNDS,18.42289,54.79671,121,721.704106424697,5.96449674731154,5.96449674731154
316187,18.43237,54.79622,Fishing,WLA-58,2016-12-18T17:49:07Z,WLA,18.44415,54.79681,121,758.813716818669,6.27118774230305,6.27118774230305
316201,18.56006,54.54105,Cargo,K1,2016-12-14T01:29:07Z,"",18.56006,54.54105,120,0,0,0
316202,18.42756,54.79559,Fishing,WLA 80,2016-12-20T03:31:14Z,WLADYSLAWOWO,18.42212,54.79689,120,377.913198648578,3.14927665540482,3.14927665540482
316232,18.67608,54.69701,Pleasure,ANNA MARIA,2016-12-17T08:03:06Z,CLASS B,18.67603,54.69707,118,7.41324850916904,0.0628241399082122,0.0628241399082122
316237,18.42753,54.79809,Fishing,KPT.WISNIEWSKI,2016-12-17T05:17:08Z,CLASS B,18.42188,54.79715,121,377.369345530773,3.11875492174192,3.11875492174192
316242,18.4426,54.79977,Fishing,ANCILLA WLA-68,2016-12-18T02:49:07Z,WLADYSLA,18.4304,54.79672,121,853.338428839238,7.05238370941519,7.05238370941519
316243,18.57774,54.53327,Tug,R-20,2016-12-20T07:47:06Z,CLASS B,18.56226,54.53576,119,1037.54797230661,8.71889052358497,8.71889052358497
316280,18.55228,54.51795,Pleasure,JUNA,2016-12-19T10:43:06Z,CLASS B,18.55237,54.51805,120,12.5591702635199,0.104659752195999,0.104659752195999
316331,18.43168,54.79787,Fishing,KOL-143,2016-12-17T16:45:07Z,CLASS B,18.43168,54.79787,121,0,0,0
316405,18.43405,54.79775,Fishing,HEL-30,2016-12-17T02:57:07Z,CLASS B,18.42246,54.79671,121,752.71636670563,6.22079641905479,6.22079641905479
316410,18.65464,54.77828,Fishing,WLA-84,2016-12-19T07:59:07Z,FSHING,18.67128,54.77675,121,1081.8430777571,8.9408518822901,8.9408518822901
316468,18.42666,54.79654,Pleasure,ORKA HEL,2016-12-18T04:49:06Z,CLASS B,18.42666,54.79654,119,0,0,0
316480,18.53083,54.53074,Tug,FAIRPLAY VII,2016-12-17T05:17:08Z,GDYNIA,18.54596,54.53587,121,1131.88185096065,9.35439546248473,9.35439546248473
316482,18.55076,54.51776,Pleasure,WYSPA SZCZESCIA,2016-12-16T15:13:07Z,CLASS B,18.54998,54.51793,120,53.8357034614108,0.448630862178424,0.448630862178424
316599,18.70802,54.77913,Fishing,BALTICA,2016-12-16T07:45:09Z,GDYNIA BALTIC GDYNIA,18.71292,54.76974,122,1091.61289563432,8.94764668552722,8.94764668552722
316649,18.57949,54.53081,Tug,KAPITAN POINC,2016-12-20T07:47:06Z,ZAT.GDANSKA,18.56371,54.53566,119,1153.40935442592,9.69251558341113,9.69251558341113
316664,18.5586,54.51931,Pleasure,DAR MLODZIEZY,2016-12-13T16:37:08Z,GDYNIA PL,18.55857,54.51921,122,11.2999682824392,0.0926226908396655,0.0926226908396655
316904,18.63037,54.47285,Tug,ZODIAK,2016-12-20T07:47:06Z,GDANSK,18.63506,54.46127,119,1324.3080275828,11.1286388872504,11.1286388872504
316954,18.53052,54.52862,Tug,HORYZONT II,2016-12-15T07:09:08Z,GDYNIA,18.52999,54.52839,120,42.7519474108169,0.356266228423475,0.356266228423475
316983,18.53372,54.53841,Tug,ORP MACKO,2016-12-15T06:21:07Z,GDYNIA,18.53372,54.53841,120,0,0,0
317046,18.7627,54.47963,Tug,HEWELIUSZ,2016-12-16T07:45:09Z,GDYNIA,18.74134,54.46995,122,1752.16619352097,14.3620179796801,14.3620179796801
317048,18.58431,54.54266,Tug,ORP FLAMING,2016-12-13T11:11:08Z,"",18.58494,54.54711,121,497.03930351821,4.10776283899347,4.10776283899347
